used methods: Method1uRank	Method6	Method3	

success ratio
0.005	1.000	1.000	1.000	
0.010	1.000	1.000	1.000	
0.015	1.000	1.000	1.000	
0.020	1.000	1.000	1.000	
0.025	1.000	1.000	1.000	
0.030	1.000	1.000	1.000	
0.035	1.000	1.000	1.000	
0.040	1.000	1.000	1.000	
0.045	1.000	1.000	1.000	
0.050	1.000	1.000	1.000	



normalized cost
0.005	32.125	38.125	35.708	
0.010	24.583	34.583	33.542	
0.015	21.375	34.500	30.250	
0.020	20.250	32.333	27.208	
0.025	20.417	29.042	26.250	
0.030	18.000	28.958	24.333	
0.035	19.292	27.917	25.042	
0.040	18.250	24.875	22.250	
0.045	15.917	24.875	21.375	
0.050	14.875	23.833	19.625	



reference values (CF, MF, CC, MC)
10.0	13.2	0.12000000000000002	127.0	
